No,MatchName,Sport,Region,Date,Time,Game_Info,Relative_Path,Full_URL
401,"Del Valle El Paso vs Eastlake El Paso",Football,"Texas",08/28/2026,07:00 PM,"The Eastlake El Paso varsity football team has an away non-conference game @ Del Valle El Paso (Texas) on Thursday, August 27 @ 7p.","/tx/football/game/del-valle-el-paso-vs-eastlake-el-paso/8-28-2026/?c=ded8080e-020c-4036-a644-916d038ec638","https://www.maxpreps.com/tx/football/game/del-valle-el-paso-vs-eastlake-el-paso/8-28-2026/?c=ded8080e-020c-4036-a644-916d038ec638"
402,"Commerce vs Lone Oak",Football,"Texas",08/28/2026,07:00 PM,"The Lone Oak varsity football team has an away non-conference game @ Commerce (Texas) on Thursday, August 27 @ 7p.","/tx/football/game/commerce-vs-lone-oak/8-28-2026/?c=991e3182-cd29-4ab3-ac46-70f7dae4b568","https://www.maxpreps.com/tx/football/game/commerce-vs-lone-oak/8-28-2026/?c=991e3182-cd29-4ab3-ac46-70f7dae4b568"
403,"Hart vs Lazbuddie",Football,"Texas",08/28/2026,07:00 PM,"The Lazbuddie varsity football team has an away non-conference game @ Hart (Texas) on Thursday, August 27 @ 7p.","/tx/football/game/hart-vs-lazbuddie/8-28-2026/?c=3c7b51ee-2919-4857-b95c-36aa0f596204","https://www.maxpreps.com/tx/football/game/hart-vs-lazbuddie/8-28-2026/?c=3c7b51ee-2919-4857-b95c-36aa0f596204"
404,"Early vs Merkel",Football,"Texas",08/28/2026,07:00 PM,"The Merkel varsity football team has an away non-conference game @ Early (Texas) on Thursday, August 27 @ 7p.","/tx/football/game/early-vs-merkel/8-28-2026/?c=8fc18274-69d0-47bb-8d2a-685d9f627388","https://www.maxpreps.com/tx/football/game/early-vs-merkel/8-28-2026/?c=8fc18274-69d0-47bb-8d2a-685d9f627388"
405,"Grace Classical Christian Academy Granbury vs Harvest Christian Academy Bartonville",Football,"Texas",08/28/2026,07:00 PM,"The Harvest Christian Academy Bartonville varsity football team has an away non-conference game @ Grace Classical Christian Academy Granbury (Texas) on Thursday, August 27 @ 7p.","/tx/football/game/grace-classical-christian-academy-granbury-vs-harvest-christian-academy-bartonville/8-28-2026/?c=39482a8d-e05a-4ab4-8486-5e74e3d6cdd7","https://www.maxpreps.com/tx/football/game/grace-classical-christian-academy-granbury-vs-harvest-christian-academy-bartonville/8-28-2026/?c=39482a8d-e05a-4ab4-8486-5e74e3d6cdd7"
406,"Marine Military Academy Harlingen vs Progreso",Football,"Texas",08/28/2026,07:00 PM,"The Progreso varsity football team has an away non-conference game @ Marine Military Academy Harlingen (Texas) on Thursday, August 27 @ 7p.","/tx/football/game/marine-military-academy-harlingen-vs-progreso/8-28-2026/?c=d92ea352-ea7e-47c4-88fe-06a7cf8b306a","https://www.maxpreps.com/tx/football/game/marine-military-academy-harlingen-vs-progreso/8-28-2026/?c=d92ea352-ea7e-47c4-88fe-06a7cf8b306a"
407,"Dasche Cedar Hill vs Newman International Academy Arlington",Football,"Texas",08/28/2026,07:00 PM,"The Newman International Academy Arlington varsity football team has an away non-conference game @ Dasche Cedar Hill (Texas) on Thursday, August 27 @ 7p.","/tx/football/game/dasche-cedar-hill-vs-newman-international-academy-arlington/8-28-2026/?c=38563dd4-5a24-4f04-be7f-3d0507c88cb9","https://www.maxpreps.com/tx/football/game/dasche-cedar-hill-vs-newman-international-academy-arlington/8-28-2026/?c=38563dd4-5a24-4f04-be7f-3d0507c88cb9"
408,"Flatonia vs Palacios",Football,"Texas",08/28/2026,07:00 PM,"The Palacios varsity football team has an away non-conference game @ Flatonia (Texas) on Thursday, August 27 @ 7p.","/tx/football/game/flatonia-vs-palacios/8-28-2026/?c=ed324468-5db3-41ac-a3fc-85919c5beeea","https://www.maxpreps.com/tx/football/game/flatonia-vs-palacios/8-28-2026/?c=ed324468-5db3-41ac-a3fc-85919c5beeea"
409,"New Boston vs New Diana",Football,"Texas",08/28/2026,07:00 PM,"The New Diana varsity football team has an away non-conference game @ New Boston (Texas) on Thursday, August 27 @ 7p.","/tx/football/game/new-boston-vs-new-diana/8-28-2026/?c=1fbba04e-b396-4385-80aa-08b0dd4e065c","https://www.maxpreps.com/tx/football/game/new-boston-vs-new-diana/8-28-2026/?c=1fbba04e-b396-4385-80aa-08b0dd4e065c"
410,"Coolidge vs Jonesboro",Football,"Texas",08/28/2026,07:00 PM,"The Jonesboro varsity football team has an away non-conference game @ Coolidge (Texas) on Thursday, August 27 @ 7p.","/tx/football/game/coolidge-vs-jonesboro/8-28-2026/?c=1c29f580-2b6a-4487-947a-0fadcc2109c1","https://www.maxpreps.com/tx/football/game/coolidge-vs-jonesboro/8-28-2026/?c=1c29f580-2b6a-4487-947a-0fadcc2109c1"
411,"Goldthwaite vs Junction",Football,"Texas",08/28/2026,07:00 PM,"The Junction varsity football team has an away non-conference game @ Goldthwaite (Texas) on Thursday, August 27 @ 7p.","/tx/football/game/goldthwaite-vs-junction/8-28-2026/?c=3839ce9d-f7af-4ed4-a9df-c000fbf332fc","https://www.maxpreps.com/tx/football/game/goldthwaite-vs-junction/8-28-2026/?c=3839ce9d-f7af-4ed4-a9df-c000fbf332fc"
412,"Lingleville vs Morgan",Football,"Texas",08/28/2026,07:00 PM,"The Morgan varsity football team has an away non-conference game @ Lingleville (Texas) on Thursday, August 27 @ 7p.","/tx/football/game/lingleville-vs-morgan/8-28-2026/?c=8e097895-1c58-452d-a450-70931ced6418","https://www.maxpreps.com/tx/football/game/lingleville-vs-morgan/8-28-2026/?c=8e097895-1c58-452d-a450-70931ced6418"
413,"Gatesville vs Lampasas",Football,"Texas",08/28/2026,07:00 PM,"The Lampasas varsity football team has an away non-conference game @ Gatesville (Texas) on Thursday, August 27 @ 7p.","/tx/football/game/gatesville-vs-lampasas/8-28-2026/?c=1a58eca6-3352-481d-a291-8e926b81efb9","https://www.maxpreps.com/tx/football/game/gatesville-vs-lampasas/8-28-2026/?c=1a58eca6-3352-481d-a291-8e926b81efb9"
414,"Leon Jewett vs Trinity",Football,"Texas",08/28/2026,07:00 PM,"The Trinity varsity football team has an away non-conference game @ Leon Jewett (Texas) on Thursday, August 27 @ 7p.","/tx/football/game/leon-jewett-vs-trinity/8-28-2026/?c=71bda4d9-9a60-48de-89da-a1580e74a727","https://www.maxpreps.com/tx/football/game/leon-jewett-vs-trinity/8-28-2026/?c=71bda4d9-9a60-48de-89da-a1580e74a727"
415,"Breckenridge vs Comanche",Football,"Texas",08/28/2026,07:00 PM,"The Comanche varsity football team has an away non-conference game @ Breckenridge (Texas) on Thursday, August 27 @ 7p.","/tx/football/game/breckenridge-vs-comanche/8-28-2026/?c=67b6c5f9-e57f-4dce-bccd-26923a062ac7","https://www.maxpreps.com/tx/football/game/breckenridge-vs-comanche/8-28-2026/?c=67b6c5f9-e57f-4dce-bccd-26923a062ac7"
416,"Balmorhea vs Lubbock Titans",Football,"Texas",08/28/2026,07:00 PM,"The Lubbock Titans varsity football team has an away non-conference game @ Balmorhea (Texas) on Thursday, August 27 @ 7p.","/tx/football/game/balmorhea-vs-lubbock-titans/8-28-2026/?c=3ecc7550-e3b9-459b-acc9-9564e9a2463c","https://www.maxpreps.com/tx/football/game/balmorhea-vs-lubbock-titans/8-28-2026/?c=3ecc7550-e3b9-459b-acc9-9564e9a2463c"
417,"Celina vs Legacy School Of Sport Sciences Spring",Football,"Texas",08/28/2026,07:00 PM,"The Legacy School Of Sport Sciences Spring varsity football team has an away non-conference game @ Celina (Texas) on Thursday, August 27 @ 7p.","/tx/football/game/celina-vs-legacy-school-of-sport-sciences-spring/8-28-2026/?c=a2123b5e-8058-4f2e-8db0-42121ce2c2a7","https://www.maxpreps.com/tx/football/game/celina-vs-legacy-school-of-sport-sciences-spring/8-28-2026/?c=a2123b5e-8058-4f2e-8db0-42121ce2c2a7"
418,"Alba Golden vs Linden Kildare",Football,"Texas",08/28/2026,07:00 PM,"The Linden Kildare varsity football team has an away non-conference game @ Alba Golden (Texas) on Thursday, August 27 @ 7p.","/tx/football/game/alba-golden-vs-linden-kildare/8-28-2026/?c=93b4cc7d-8319-4d16-b3e0-7b5448d20ddf","https://www.maxpreps.com/tx/football/game/alba-golden-vs-linden-kildare/8-28-2026/?c=93b4cc7d-8319-4d16-b3e0-7b5448d20ddf"
419,"Petersburg vs Springlake Earth",Football,"Texas",08/28/2026,07:00 PM,"The Springlake Earth varsity football team has an away non-conference game @ Petersburg (Texas) on Thursday, August 27 @ 7p.","/tx/football/game/petersburg-vs-springlake-earth/8-28-2026/?c=680b853b-ec0f-4a7b-b3da-d692d85692c9","https://www.maxpreps.com/tx/football/game/petersburg-vs-springlake-earth/8-28-2026/?c=680b853b-ec0f-4a7b-b3da-d692d85692c9"
420,"Fort Worth Thesa vs Victory Christian Academy Decatur",Football,"Texas",08/28/2026,07:00 PM,"The Victory Christian Academy Decatur varsity football team has an away non-conference game @ Fort Worth Thesa (Texas) on Thursday, August 27 @ 7p.","/tx/football/game/fort-worth-thesa-vs-victory-christian-academy-decatur/8-28-2026/?c=802fa66d-f73d-4895-87d0-d3a98221f292","https://www.maxpreps.com/tx/football/game/fort-worth-thesa-vs-victory-christian-academy-decatur/8-28-2026/?c=802fa66d-f73d-4895-87d0-d3a98221f292"
421,"Maud vs Rivercrest Bogata",Football,"Texas",08/28/2026,07:00 PM,"The Rivercrest Bogata varsity football team has an away non-conference game @ Maud (Texas) on Thursday, August 27 @ 7p.","/tx/football/game/maud-vs-rivercrest-bogata/8-28-2026/?c=c28aa88f-417b-449a-8a17-623f2b41dca7","https://www.maxpreps.com/tx/football/game/maud-vs-rivercrest-bogata/8-28-2026/?c=c28aa88f-417b-449a-8a17-623f2b41dca7"
422,"Crockett vs Mexia",Football,"Texas",08/28/2026,07:00 PM,"The Mexia varsity football team has an away non-conference game @ Crockett (Texas) on Thursday, August 27 @ 7p.","/tx/football/game/crockett-vs-mexia/8-28-2026/?c=f4c2d49e-f6fa-431d-ae2f-8a4739fa2cef","https://www.maxpreps.com/tx/football/game/crockett-vs-mexia/8-28-2026/?c=f4c2d49e-f6fa-431d-ae2f-8a4739fa2cef"
423,"Canton vs Jacksonville Fightin Indians",Football,"Texas",08/28/2026,07:00 PM,"The Jacksonville Fightin Indians varsity football team has an away non-conference game @ Canton (Texas) on Thursday, August 27 @ 7p.","/tx/football/game/canton-vs-jacksonville-fightin-indians/8-28-2026/?c=f877de30-8857-4314-9d14-314fadff7aeb","https://www.maxpreps.com/tx/football/game/canton-vs-jacksonville-fightin-indians/8-28-2026/?c=f877de30-8857-4314-9d14-314fadff7aeb"
