No,MatchName,Sport,Region,Date,Time,Game_Info,Relative_Path,Full_URL
117,"Goldsboro vs Greene Central Snow Hill",Football,"North Carolina",08/28/2026,07:00 PM,"The Greene Central Snow Hill varsity football team has an away non-conference game @ Goldsboro (North Carolina) on Thursday, August 27 @ 7p.","/nc/football/game/goldsboro-vs-greene-central-snow-hill/8-28-2026/?c=5108c6cc-d7cd-46e4-9440-f657800351cf","https://www.maxpreps.com/nc/football/game/goldsboro-vs-greene-central-snow-hill/8-28-2026/?c=5108c6cc-d7cd-46e4-9440-f657800351cf"
118,"Cabarrus Stallions Concord vs Hickory Grove Christian Charlotte",Football,"North Carolina",08/28/2026,07:00 PM,"The Hickory Grove Christian Charlotte varsity football team has an away non-conference game @ Cabarrus Stallions Concord (North Carolina) on Thursday, August 27 @ 7p.","/nc/football/game/cabarrus-stallions-concord-vs-hickory-grove-christian-charlotte/8-28-2026/?c=d1ebce21-492e-4713-9cb9-0c78b09da01c","https://www.maxpreps.com/nc/football/game/cabarrus-stallions-concord-vs-hickory-grove-christian-charlotte/8-28-2026/?c=d1ebce21-492e-4713-9cb9-0c78b09da01c"
119,"Havelock vs New Bern",Football,"North Carolina",08/28/2026,07:00 PM,"The New Bern varsity football team has an away non-conference game @ Havelock (North Carolina) on Thursday, August 27 @ 7p.","/nc/football/game/havelock-vs-new-bern/8-28-2026/?c=39f3f0ed-3ea7-49dc-8c59-b6f79a30e9b1","https://www.maxpreps.com/nc/football/game/havelock-vs-new-bern/8-28-2026/?c=39f3f0ed-3ea7-49dc-8c59-b6f79a30e9b1"
120,"North Lenoir Lagrange vs South Lenoir Deep Run",Football,"North Carolina",08/28/2026,07:00 PM,"The South Lenoir Deep Run varsity football team has an away non-conference game @ North Lenoir Lagrange (North Carolina) on Thursday, August 27 @ 7p.","/nc/football/game/north-lenoir-lagrange-vs-south-lenoir-deep-run/8-28-2026/?c=291cadfe-3930-4ef7-a24d-8afdbf9e1be7","https://www.maxpreps.com/nc/football/game/north-lenoir-lagrange-vs-south-lenoir-deep-run/8-28-2026/?c=291cadfe-3930-4ef7-a24d-8afdbf9e1be7"
121,"Ravenscroft Raleigh vs Southlake Christian Academy Huntersville",Football,"North Carolina",08/28/2026,07:00 PM,"The Southlake Christian Academy Huntersville varsity football team has an away non-conference game @ Ravenscroft Raleigh (North Carolina) on Thursday, August 27 @ 7p.","/nc/football/game/ravenscroft-raleigh-vs-southlake-christian-academy-huntersville/8-28-2026/?c=d6bd36fb-7123-4f6d-bf3a-3a5a7230a5b9","https://www.maxpreps.com/nc/football/game/ravenscroft-raleigh-vs-southlake-christian-academy-huntersville/8-28-2026/?c=d6bd36fb-7123-4f6d-bf3a-3a5a7230a5b9"
122,"North Mecklenburg Huntersville vs South Iredell Statesville",Football,"North Carolina",08/28/2026,07:00 PM,"The South Iredell Statesville varsity football team has an away non-conference game @ North Mecklenburg Huntersville (North Carolina) on Thursday, August 27 @ 7p.","/nc/football/game/north-mecklenburg-huntersville-vs-south-iredell-statesville/8-28-2026/?c=a3db6c31-1327-436e-b294-0ebf02f09f34","https://www.maxpreps.com/nc/football/game/north-mecklenburg-huntersville-vs-south-iredell-statesville/8-28-2026/?c=a3db6c31-1327-436e-b294-0ebf02f09f34"
123,"Harnett Central Angier vs Overhills Spring Lake",Football,"North Carolina",08/28/2026,07:00 PM,"The Overhills Spring Lake varsity football team has an away non-conference game @ Harnett Central Angier (North Carolina) on Thursday, August 27 @ 7p.","/nc/football/game/harnett-central-angier-vs-overhills-spring-lake/8-28-2026/?c=9a43bd87-e91a-4c1e-b7f2-47f3ce8a4748","https://www.maxpreps.com/nc/football/game/harnett-central-angier-vs-overhills-spring-lake/8-28-2026/?c=9a43bd87-e91a-4c1e-b7f2-47f3ce8a4748"
124,"Lexington Senior vs North Davidson Black Knights Lexington",Football,"North Carolina",08/28/2026,07:00 PM,"The North Davidson Black Knights Lexington varsity football team has an away non-conference game @ Lexington Senior (North Carolina) on Thursday, August 27 @ 7p.","/nc/football/game/lexington-senior-vs-north-davidson-black-knights-lexington/8-28-2026/?c=6f05ae84-b2d0-4267-8157-2e6f00297310","https://www.maxpreps.com/nc/football/game/lexington-senior-vs-north-davidson-black-knights-lexington/8-28-2026/?c=6f05ae84-b2d0-4267-8157-2e6f00297310"
125,"North Raleigh Christian Academy vs Southwest Onslow Jacksonville",Football,"North Carolina",08/28/2026,07:00 PM,"The Southwest Onslow Jacksonville varsity football team has an away non-conference game @ North Raleigh Christian Academy (North Carolina) on Thursday, August 27 @ 7p.","/nc/football/game/north-raleigh-christian-academy-vs-southwest-onslow-jacksonville/8-28-2026/?c=0cb1d912-fe57-4ff9-87e1-32b3f4c906d9","https://www.maxpreps.com/nc/football/game/north-raleigh-christian-academy-vs-southwest-onslow-jacksonville/8-28-2026/?c=0cb1d912-fe57-4ff9-87e1-32b3f4c906d9"
126,"North Brunswick Leland vs South Brunswick Southport",Football,"North Carolina",08/28/2026,07:00 PM,"The South Brunswick Southport varsity football team has an away non-conference game @ North Brunswick Leland (North Carolina) on Thursday, August 27 @ 7p.","/nc/football/game/north-brunswick-leland-vs-south-brunswick-southport/8-28-2026/?c=6b93d2e0-11b0-40c1-9f9b-cf66ff828ea5","https://www.maxpreps.com/nc/football/game/north-brunswick-leland-vs-south-brunswick-southport/8-28-2026/?c=6b93d2e0-11b0-40c1-9f9b-cf66ff828ea5"
